Date,flux_primaire_pro_format,instance,recus
2020-05-14,FLUX RPC SAV AUTOLOC,SAV,659.0
2020-05-14,FLUX RPC SAV COMPLEX,SAV,203.0
2020-05-14,FLUX UNIF,COMMERCE,85.0
2020-05-14,FLUX UNIF,SAV,642.0
2020-05-15,FLUX AD,SAV,90.0
2020-05-15,FLUX RPC,COMMERCE,1063.0
2020-05-15,FLUX RPC SAV AUTOLOC,SAV,742.0
2020-05-15,FLUX RPC SAV COMPLEX,SAV,166.0
2020-05-15,FLUX UNIF,COMMERCE,77.0
2020-05-15,FLUX UNIF,SAV,686.0
2020-05-16,FLUX AD,SAV,2.0
2020-05-16,FLUX RPC,COMMERCE,349.0
2020-05-16,FLUX RPC SAV AUTOLOC,SAV,95.0
2020-05-16,FLUX RPC SAV COMPLEX,SAV,29.0
2020-05-16,FLUX UNIF,COMMERCE,38.0
2020-05-16,FLUX UNIF,SAV,186.0
2020-05-17,FLUX AD,SAV,2.0
2020-05-17,FLUX RPC,COMMERCE,195.0
2020-05-17,FLUX RPC SAV AUTOLOC,SAV,32.0
2020-05-17,FLUX RPC SAV COMPLEX,SAV,19.0
2020-05-17,FLUX UNIF,COMMERCE,7.0
2020-05-17,FLUX UNIF,SAV,152.0
2020-05-18,FLUX AD,SAV,71.0
2020-05-18,FLUX RPC,COMMERCE,1241.0
2020-05-18,FLUX RPC SAV AUTOLOC,SAV,586.0
2020-05-18,FLUX RPC SAV COMPLEX,SAV,232.0
2020-05-18,FLUX UNIF,COMMERCE,60.0
2020-05-18,FLUX UNIF,SAV,592.0
2020-05-19,FLUX AD,SAV,97.0
2020-05-19,FLUX RPC,COMMERCE,1268.0
2020-05-19,FLUX RPC SAV AUTOLOC,SAV,645.0
2020-05-19,FLUX RPC SAV COMPLEX,SAV,229.0
2020-05-19,FLUX UNIF,COMMERCE,75.0
2020-05-19,FLUX UNIF,SAV,641.0
2020-05-20,FLUX AD,SAV,123.0
2020-05-20,FLUX RPC,COMMERCE,1242.0
2020-05-20,FLUX RPC SAV AUTOLOC,SAV,639.0
2020-05-20,FLUX RPC SAV COMPLEX,SAV,202.0
2020-05-20,FLUX UNIF,COMMERCE,58.0
2020-05-20,FLUX UNIF,SAV,614.0
2020-05-21,FLUX AD,SAV,5.0
2020-05-21,FLUX RPC,COMMERCE,395.0
2020-05-21,FLUX RPC SAV AUTOLOC,SAV,36.0
2020-05-21,FLUX RPC SAV COMPLEX,SAV,30.0
2020-05-21,FLUX UNIF,COMMERCE,4.0
2020-05-21,FLUX UNIF,SAV,311.0
2020-05-22,FLUX AD,SAV,145.0
2020-05-22,FLUX RPC,COMMERCE,989.0
2020-05-22,FLUX RPC SAV AUTOLOC,SAV,616.0
2020-05-22,FLUX RPC SAV COMPLEX,SAV,159.0
2020-05-22,FLUX UNIF,COMMERCE,61.0
2020-05-22,FLUX UNIF,SAV,474.0
2020-05-23,FLUX AD,SAV,3.0
2020-05-23,FLUX RPC,COMMERCE,379.0
2020-05-23,FLUX RPC SAV AUTOLOC,SAV,111.0
2020-05-23,FLUX RPC SAV COMPLEX,SAV,37.0
2020-05-23,FLUX UNIF,COMMERCE,12.0
2020-05-23,FLUX UNIF,SAV,229.0
2020-05-24,FLUX AD,SAV,1.0
2020-05-24,FLUX RPC,COMMERCE,228.0
2020-05-24,FLUX RPC SAV AUTOLOC,SAV,43.0
2020-05-24,FLUX RPC SAV COMPLEX,SAV,17.0
2020-05-24,FLUX UNIF,COMMERCE,7.0
2020-05-24,FLUX UNIF,SAV,141.0
2020-05-25,FLUX AD,SAV,175.0
2020-05-25,FLUX RPC,COMMERCE,1326.0
2020-05-25,FLUX RPC SAV AUTOLOC,SAV,674.0
2020-05-25,FLUX RPC SAV COMPLEX,SAV,312.0
2020-05-25,FLUX UNIF,COMMERCE,104.0
2020-05-25,FLUX UNIF,SAV,579.0
2020-05-26,FLUX AD,SAV,190.0
2020-05-26,FLUX RPC,COMMERCE,1355.0
2020-05-26,FLUX RPC SAV AUTOLOC,SAV,685.0
2020-05-26,FLUX RPC SAV COMPLEX,SAV,254.0
2020-05-26,FLUX UNIF,COMMERCE,75.0
2020-05-26,FLUX UNIF,SAV,603.0
2020-05-27,FLUX AD,SAV,132.0
2020-05-27,FLUX RPC,COMMERCE,1294.0
2020-05-27,FLUX RPC SAV AUTOLOC,SAV,747.0
2020-05-27,FLUX RPC SAV COMPLEX,SAV,182.0
2020-05-27,FLUX UNIF,COMMERCE,92.0
2020-05-27,FLUX UNIF,SAV,515.0
2020-05-28,FLUX AD,SAV,122.0
2020-05-28,FLUX RPC,COMMERCE,1242.0
2020-05-28,FLUX RPC SAV AUTOLOC,SAV,633.0
2020-05-28,FLUX RPC SAV COMPLEX,SAV,196.0
2020-05-28,FLUX UNIF,COMMERCE,100.0
2020-05-28,FLUX UNIF,SAV,644.0
2020-05-29,FLUX AD,SAV,167.0
2020-05-29,FLUX RPC,COMMERCE,1164.0
2020-05-29,FLUX RPC SAV AUTOLOC,SAV,694.0
2020-05-29,FLUX RPC SAV COMPLEX,SAV,176.0
2020-05-29,FLUX UNIF,COMMERCE,99.0
2020-05-29,FLUX UNIF,SAV,490.0
2020-05-30,FLUX AD,SAV,5.0
2020-05-30,FLUX RPC,COMMERCE,437.0
2020-05-30,FLUX RPC SAV AUTOLOC,SAV,111.0
2020-05-30,FLUX RPC SAV COMPLEX,SAV,30.0
2020-05-30,FLUX UNIF,COMMERCE,36.0
2020-05-30,FLUX UNIF,SAV,188.0
2020-05-31,FLUX AD,SAV,3.0
2020-05-31,FLUX RPC,COMMERCE,194.0
2020-05-31,FLUX RPC SAV AUTOLOC,SAV,35.0
2020-05-31,FLUX RPC SAV COMPLEX,SAV,10.0
2020-05-31,FLUX UNIF,COMMERCE,7.0
2020-05-31,FLUX UNIF,SAV,144.0
2020-06-01,FLUX AD,SAV,2.0
2020-06-01,FLUX RPC,COMMERCE,339.0
2020-06-01,FLUX RPC SAV AUTOLOC,SAV,53.0
2020-06-01,FLUX RPC SAV COMPLEX,SAV,34.0
2020-06-01,FLUX UNIF,COMMERCE,7.0
2020-06-01,FLUX UNIF,SAV,228.0
2020-06-02,FLUX AD,SAV,132.0
2020-06-02,FLUX RPC,COMMERCE,1555.0
2020-06-02,FLUX RPC SAV AUTOLOC,SAV,860.0
2020-06-02,FLUX RPC SAV COMPLEX,SAV,245.0
2020-06-02,FLUX UNIF,COMMERCE,135.0
2020-06-02,FLUX UNIF,SAV,464.0
2020-06-03,FLUX AD,SAV,116.0
2020-06-03,FLUX RPC,COMMERCE,1641.0
2020-06-03,FLUX RPC SAV AUTOLOC,SAV,617.0
2020-06-03,FLUX RPC SAV COMPLEX,SAV,215.0
2020-06-03,FLUX UNIF,COMMERCE,141.0
2020-06-03,FLUX UNIF,SAV,607.0
2020-06-04,FLUX AD,SAV,116.0
2020-06-04,FLUX RPC,COMMERCE,1751.0
2020-06-04,FLUX RPC SAV AUTOLOC,SAV,765.0
2020-06-04,FLUX RPC SAV COMPLEX,SAV,234.0
2020-06-04,FLUX UNIF,COMMERCE,108.0
2020-06-04,FLUX UNIF,SAV,681.0
2020-06-05,FLUX AD,SAV,78.0
2020-06-05,FLUX RPC,COMMERCE,1530.0
2020-06-05,FLUX RPC SAV AUTOLOC,SAV,622.0
2020-06-05,FLUX RPC SAV COMPLEX,SAV,186.0
2020-06-05,FLUX UNIF,COMMERCE,115.0
2020-06-05,FLUX UNIF,SAV,725.0
2020-06-06,FLUX AD,SAV,1.0
2020-06-06,FLUX RPC,COMMERCE,520.0
2020-06-06,FLUX RPC SAV AUTOLOC,SAV,126.0
2020-06-06,FLUX RPC SAV COMPLEX,SAV,36.0
2020-06-06,FLUX UNIF,COMMERCE,50.0
2020-06-06,FLUX UNIF,SAV,244.0
2020-06-07,FLUX RPC,COMMERCE,251.0
2020-06-07,FLUX RPC SAV AUTOLOC,SAV,43.0
2020-06-07,FLUX RPC SAV COMPLEX,SAV,15.0
2020-06-07,FLUX UNIF,COMMERCE,17.0
2020-06-07,FLUX UNIF,SAV,159.0
2020-06-08,FLUX AD,SAV,10.0
2020-06-08,FLUX RPC,COMMERCE,2031.0
2020-06-08,FLUX RPC SAV AUTOLOC,SAV,634.0
2020-06-08,FLUX RPC SAV COMPLEX,SAV,238.0
2020-06-08,FLUX UNIF,COMMERCE,129.0
2020-06-08,FLUX UNIF,SAV,489.0
2020-06-09,FLUX AD,SAV,215.0
2020-06-09,FLUX RPC,COMMERCE,2252.0
2020-06-09,FLUX RPC SAV AUTOLOC,SAV,896.0
2020-06-09,FLUX RPC SAV COMPLEX,SAV,274.0
2020-06-09,FLUX UNIF,COMMERCE,155.0
2020-06-09,FLUX UNIF,SAV,867.0
2020-06-10,FLUX AD,SAV,105.0
2020-06-10,FLUX RPC,COMMERCE,2292.0
2020-06-10,FLUX RPC SAV AUTOLOC,SAV,635.0
2020-06-10,FLUX RPC SAV COMPLEX,SAV,214.0
2020-06-10,FLUX UNIF,COMMERCE,152.0
2020-06-10,FLUX UNIF,SAV,641.0
2020-06-11,FLUX AD,SAV,106.0
2020-06-11,FLUX RPC,COMMERCE,2024.0
2020-06-11,FLUX RPC SAV AUTOLOC,SAV,766.0
2020-06-11,FLUX RPC SAV COMPLEX,SAV,222.0
2020-06-11,FLUX UNIF,COMMERCE,145.0
2020-06-11,FLUX UNIF,SAV,649.0
2020-06-12,FLUX AD,SAV,112.0
2020-06-12,FLUX RPC,COMMERCE,2007.0
2020-06-12,FLUX RPC SAV AUTOLOC,SAV,762.0
2020-06-12,FLUX RPC SAV COMPLEX,SAV,213.0
2020-06-12,FLUX UNIF,COMMERCE,121.0
2020-06-12,FLUX UNIF,SAV,597.0
2020-06-13,FLUX AD,SAV,4.0
2020-06-13,FLUX RPC,COMMERCE,548.0
2020-06-13,FLUX RPC SAV AUTOLOC,SAV,122.0
2020-06-13,FLUX RPC SAV COMPLEX,SAV,31.0
2020-06-13,FLUX UNIF,COMMERCE,20.0
2020-06-13,FLUX UNIF,SAV,220.0
2020-06-14,FLUX RPC,COMMERCE,344.0
2020-06-14,FLUX RPC SAV AUTOLOC,SAV,50.0
2020-06-14,FLUX RPC SAV COMPLEX,SAV,20.0
2020-06-14,FLUX UNIF,COMMERCE,7.0
2020-06-14,FLUX UNIF,SAV,159.0
2020-06-15,FLUX AD,SAV,109.0
2020-06-15,FLUX RPC,COMMERCE,2205.0
2020-06-15,FLUX RPC SAV AUTOLOC,SAV,684.0
2020-06-15,FLUX RPC SAV COMPLEX,SAV,226.0
2020-06-15,FLUX UNIF,COMMERCE,122.0
2020-06-15,FLUX UNIF,SAV,541.0
2020-06-16,FLUX AD,SAV,140.0
2020-06-16,FLUX RPC,COMMERCE,2331.0
2020-06-16,FLUX RPC SAV AUTOLOC,SAV,747.0
2020-06-16,FLUX RPC SAV COMPLEX,SAV,199.0
2020-06-16,FLUX UNIF,COMMERCE,137.0
2020-06-16,FLUX UNIF,SAV,742.0
2020-06-17,FLUX AD,SAV,113.0
2020-06-17,FLUX RPC,COMMERCE,2246.0
2020-06-17,FLUX RPC SAV AUTOLOC,SAV,695.0
2020-06-17,FLUX RPC SAV COMPLEX,SAV,197.0
2020-06-17,FLUX UNIF,COMMERCE,159.0
2020-06-17,FLUX UNIF,SAV,721.0
2020-06-18,FLUX AD,SAV,109.0
2020-06-18,FLUX RPC,COMMERCE,2049.0
2020-06-18,FLUX RPC SAV AUTOLOC,SAV,652.0
2020-06-18,FLUX RPC SAV COMPLEX,SAV,259.0
2020-06-18,FLUX UNIF,COMMERCE,162.0
2020-06-18,FLUX UNIF,SAV,603.0
2020-06-19,FLUX AD,SAV,128.0
2020-06-19,FLUX RPC,COMMERCE,1975.0
2020-06-19,FLUX RPC SAV AUTOLOC,SAV,627.0
2020-06-19,FLUX RPC SAV COMPLEX,SAV,179.0
2020-06-19,FLUX UNIF,COMMERCE,106.0
2020-06-19,FLUX UNIF,SAV,630.0
2020-06-20,FLUX AD,SAV,2.0
2020-06-20,FLUX RPC,COMMERCE,534.0
2020-06-20,FLUX RPC SAV AUTOLOC,SAV,82.0
2020-06-20,FLUX RPC SAV COMPLEX,SAV,28.0
2020-06-20,FLUX UNIF,COMMERCE,36.0
2020-06-20,FLUX UNIF,SAV,193.0
2020-06-21,FLUX AD,SAV,2.0
2020-06-21,FLUX RPC,COMMERCE,371.0
2020-06-21,FLUX RPC SAV AUTOLOC,SAV,31.0
2020-06-21,FLUX RPC SAV COMPLEX,SAV,35.0
2020-06-21,FLUX UNIF,COMMERCE,12.0
2020-06-21,FLUX UNIF,SAV,173.0
2020-06-22,FLUX AD,SAV,127.0
2020-06-22,FLUX RPC,COMMERCE,2014.0
2020-06-22,FLUX RPC SAV AUTOLOC,SAV,714.0
2020-06-22,FLUX RPC SAV COMPLEX,SAV,204.0
2020-06-22,FLUX UNIF,COMMERCE,132.0
2020-06-22,FLUX UNIF,SAV,562.0
2020-06-23,FLUX AD,SAV,207.0
2020-06-23,FLUX RPC,COMMERCE,2139.0
2020-06-23,FLUX RPC SAV AUTOLOC,SAV,732.0
2020-06-23,FLUX RPC SAV COMPLEX,SAV,196.0
2020-06-23,FLUX UNIF,COMMERCE,132.0
2020-06-23,FLUX UNIF,SAV,676.0
2020-06-24,FLUX AD,SAV,159.0
2020-06-24,FLUX RPC,COMMERCE,1928.0
2020-06-24,FLUX RPC SAV AUTOLOC,SAV,626.0
2020-06-24,FLUX RPC SAV COMPLEX,SAV,156.0
2020-06-24,FLUX UNIF,COMMERCE,159.0
2020-06-24,FLUX UNIF,SAV,635.0
2020-06-25,FLUX AD,SAV,204.0
2020-06-25,FLUX RPC,COMMERCE,1727.0
2020-06-25,FLUX RPC SAV AUTOLOC,SAV,634.0
2020-06-25,FLUX RPC SAV COMPLEX,SAV,195.0
2020-06-25,FLUX UNIF,COMMERCE,125.0
2020-06-25,FLUX UNIF,SAV,529.0
2020-06-26,FLUX AD,SAV,246.0
2020-06-26,FLUX RPC,COMMERCE,1702.0
2020-06-26,FLUX RPC SAV AUTOLOC,SAV,567.0
2020-06-26,FLUX RPC SAV COMPLEX,SAV,219.0
2020-06-26,FLUX UNIF,COMMERCE,135.0
2020-06-26,FLUX UNIF,SAV,539.0
2020-06-27,FLUX AD,SAV,1.0
2020-06-27,FLUX RPC,COMMERCE,459.0
2020-06-27,FLUX RPC SAV AUTOLOC,SAV,86.0
2020-06-27,FLUX RPC SAV COMPLEX,SAV,28.0
2020-06-27,FLUX UNIF,COMMERCE,64.0
2020-06-27,FLUX UNIF,SAV,200.0
2020-06-28,FLUX AD,SAV,2.0
2020-06-28,FLUX RPC,COMMERCE,305.0
2020-06-28,FLUX RPC SAV AUTOLOC,SAV,37.0
2020-06-28,FLUX RPC SAV COMPLEX,SAV,21.0
2020-06-28,FLUX UNIF,COMMERCE,19.0
2020-06-28,FLUX UNIF,SAV,169.0
2020-06-29,FLUX AD,SAV,199.0
2020-06-29,FLUX RPC,COMMERCE,1947.0
2020-06-29,FLUX RPC SAV AUTOLOC,SAV,694.0
2020-06-29,FLUX RPC SAV COMPLEX,SAV,223.0
2020-06-29,FLUX UNIF,COMMERCE,167.0
2020-06-29,FLUX UNIF,SAV,667.0
2020-06-30,FLUX AD,SAV,129.0
2020-06-30,FLUX RPC,COMMERCE,1904.0
2020-06-30,FLUX RPC SAV AUTOLOC,SAV,596.0
2020-06-30,FLUX RPC SAV COMPLEX,SAV,194.0
2020-06-30,FLUX UNIF,COMMERCE,156.0
2020-06-30,FLUX UNIF,SAV,613.0
2020-07-01,FLUX AD,SAV,143.0
2020-07-01,FLUX RPC,COMMERCE,1771.0
2020-07-01,FLUX RPC SAV AUTOLOC,SAV,532.0
2020-07-01,FLUX RPC SAV COMPLEX,SAV,207.0
2020-07-01,FLUX UNIF,COMMERCE,167.0
2020-07-01,FLUX UNIF,SAV,610.0
2020-07-02,FLUX AD,SAV,99.0
2020-07-02,FLUX RPC,COMMERCE,1814.0
2020-07-02,FLUX RPC SAV AUTOLOC,SAV,620.0
2020-07-02,FLUX RPC SAV COMPLEX,SAV,220.0
2020-07-02,FLUX UNIF,COMMERCE,191.0
2020-07-02,FLUX UNIF,SAV,612.0
2020-07-03,FLUX AD,SAV,66.0
2020-07-03,FLUX RPC,COMMERCE,1624.0
2020-07-03,FLUX RPC SAV AUTOLOC,SAV,628.0
2020-07-03,FLUX RPC SAV COMPLEX,SAV,184.0
2020-07-03,FLUX UNIF,COMMERCE,159.0
2020-07-03,FLUX UNIF,SAV,552.0
2020-07-04,FLUX RPC,COMMERCE,471.0
2020-07-05,FLUX RPC,COMMERCE,291.0
2020-07-06,FLUX AD,SAV,93.0
2020-07-06,FLUX RPC,COMMERCE,1935.0
2020-07-06,FLUX RPC SAV AUTOLOC,SAV,814.0
2020-07-06,FLUX RPC SAV COMPLEX,SAV,356.0
2020-07-06,FLUX UNIF,COMMERCE,278.0
2020-07-06,FLUX UNIF,SAV,1047.0
2020-07-07,FLUX AD,SAV,103.0
2020-07-07,FLUX RPC,COMMERCE,2256.0
2020-07-07,FLUX RPC SAV AUTOLOC,SAV,636.0
2020-07-07,FLUX RPC SAV COMPLEX,SAV,352.0
2020-07-07,FLUX UNIF,COMMERCE,204.0
2020-07-07,FLUX UNIF,SAV,787.0
2020-07-08,FLUX AD,SAV,73.0
2020-07-08,FLUX RPC,COMMERCE,2090.0
2020-07-08,FLUX RPC SAV AUTOLOC,SAV,525.0
2020-07-08,FLUX RPC SAV COMPLEX,SAV,261.0
2020-07-08,FLUX UNIF,COMMERCE,178.0
2020-07-08,FLUX UNIF,SAV,628.0
2020-07-09,FLUX AD,SAV,57.0
2020-07-09,FLUX RPC,COMMERCE,1983.0
2020-07-09,FLUX RPC SAV AUTOLOC,SAV,592.0
2020-07-09,FLUX RPC SAV COMPLEX,SAV,320.0
2020-07-09,FLUX UNIF,COMMERCE,209.0
2020-07-09,FLUX UNIF,SAV,644.0
2020-07-10,FLUX AD,SAV,120.0
2020-07-10,FLUX RPC,COMMERCE,1784.0
2020-07-10,FLUX RPC SAV AUTOLOC,SAV,563.0
2020-07-10,FLUX RPC SAV COMPLEX,SAV,255.0
2020-07-10,FLUX UNIF,COMMERCE,211.0
2020-07-10,FLUX UNIF,SAV,576.0
2020-07-11,FLUX AD,SAV,6.0
2020-07-11,FLUX RPC,COMMERCE,607.0
2020-07-11,FLUX RPC SAV AUTOLOC,SAV,78.0
2020-07-11,FLUX RPC SAV COMPLEX,SAV,68.0
2020-07-11,FLUX UNIF,COMMERCE,79.0
2020-07-11,FLUX UNIF,SAV,257.0
2020-07-12,FLUX AD,SAV,3.0
2020-07-12,FLUX RPC,COMMERCE,286.0
2020-07-12,FLUX RPC SAV AUTOLOC,SAV,33.0
2020-07-12,FLUX RPC SAV COMPLEX,SAV,15.0
2020-07-12,FLUX UNIF,COMMERCE,24.0
2020-07-12,FLUX UNIF,SAV,122.0
2020-07-13,FLUX AD,SAV,99.0
2020-07-13,FLUX RPC,COMMERCE,1913.0
2020-07-13,FLUX RPC SAV AUTOLOC,SAV,610.0
2020-07-13,FLUX RPC SAV COMPLEX,SAV,289.0
2020-07-13,FLUX UNIF,COMMERCE,171.0
2020-07-13,FLUX UNIF,SAV,530.0
2020-07-14,FLUX AD,SAV,1.0
2020-07-14,FLUX RPC,COMMERCE,506.0
2020-07-14,FLUX RPC SAV AUTOLOC,SAV,51.0
2020-07-14,FLUX RPC SAV COMPLEX,SAV,28.0
2020-07-14,FLUX UNIF,COMMERCE,15.0
2020-07-14,FLUX UNIF,SAV,180.0
2020-07-15,FLUX AD,SAV,165.0
2020-07-15,FLUX RPC,COMMERCE,2172.0
2020-07-15,FLUX RPC SAV AUTOLOC,SAV,657.0
2020-07-15,FLUX RPC SAV COMPLEX,SAV,300.0
2020-07-15,FLUX UNIF,COMMERCE,193.0
2020-07-15,FLUX UNIF,SAV,767.0
2020-07-16,FLUX AD,SAV,96.0
2020-07-16,FLUX RPC,COMMERCE,2211.0
2020-07-16,FLUX RPC SAV AUTOLOC,SAV,676.0
2020-07-16,FLUX RPC SAV COMPLEX,SAV,290.0
2020-07-16,FLUX UNIF,COMMERCE,229.0
2020-07-16,FLUX UNIF,SAV,632.0
2020-07-17,FLUX AD,SAV,141.0
2020-07-17,FLUX RPC,COMMERCE,1984.0
2020-07-17,FLUX RPC SAV AUTOLOC,SAV,568.0
2020-07-17,FLUX RPC SAV COMPLEX,SAV,256.0
2020-07-17,FLUX UNIF,COMMERCE,249.0
2020-07-17,FLUX UNIF,SAV,694.0
2020-07-18,FLUX AD,SAV,0.0
2020-07-18,FLUX RPC,COMMERCE,669.0
2020-07-18,FLUX RPC SAV AUTOLOC,SAV,106.0
2020-07-18,FLUX RPC SAV COMPLEX,SAV,40.0
2020-07-18,FLUX UNIF,COMMERCE,101.0
2020-07-18,FLUX UNIF,SAV,252.0
2020-07-19,FLUX RPC,COMMERCE,329.0
2020-07-19,FLUX RPC SAV AUTOLOC,SAV,31.0
2020-07-19,FLUX RPC SAV COMPLEX,SAV,13.0
2020-07-19,FLUX UNIF,COMMERCE,17.0
2020-07-19,FLUX UNIF,SAV,168.0
2020-07-20,FLUX AD,SAV,98.0
2020-07-20,FLUX RPC,COMMERCE,2177.0
2020-07-20,FLUX RPC SAV AUTOLOC,SAV,646.0
2020-07-20,FLUX RPC SAV COMPLEX,SAV,228.0
2020-07-20,FLUX UNIF,COMMERCE,266.0
2020-07-20,FLUX UNIF,SAV,714.0
2020-07-21,FLUX AD,SAV,177.0
2020-07-21,FLUX RPC,COMMERCE,2184.0
2020-07-21,FLUX RPC SAV AUTOLOC,SAV,586.0
2020-07-21,FLUX RPC SAV COMPLEX,SAV,245.0
2020-07-21,FLUX UNIF,COMMERCE,243.0
2020-07-21,FLUX UNIF,SAV,704.0
2020-07-22,FLUX AD,SAV,223.0
2020-07-22,FLUX RPC,COMMERCE,1955.0
2020-07-22,FLUX RPC SAV AUTOLOC,SAV,586.0
2020-07-22,FLUX RPC SAV COMPLEX,SAV,236.0
2020-07-22,FLUX UNIF,COMMERCE,244.0
2020-07-22,FLUX UNIF,SAV,704.0
2020-07-23,FLUX AD,SAV,210.0
2020-07-23,FLUX RPC,COMMERCE,2052.0
2020-07-23,FLUX RPC SAV AUTOLOC,SAV,589.0
2020-07-23,FLUX RPC SAV COMPLEX,SAV,257.0
2020-07-23,FLUX UNIF,COMMERCE,214.0
2020-07-23,FLUX UNIF,SAV,631.0
2020-07-24,FLUX AD,SAV,248.0
2020-07-24,FLUX RPC,COMMERCE,1813.0
2020-07-24,FLUX RPC SAV AUTOLOC,SAV,582.0
2020-07-24,FLUX RPC SAV COMPLEX,SAV,239.0
2020-07-24,FLUX UNIF,COMMERCE,212.0
2020-07-24,FLUX UNIF,SAV,744.0
2020-07-25,FLUX AD,SAV,1.0
2020-07-25,FLUX RPC,COMMERCE,483.0
2020-07-25,FLUX RPC SAV AUTOLOC,SAV,95.0
2020-07-25,FLUX RPC SAV COMPLEX,SAV,28.0
2020-07-25,FLUX UNIF,COMMERCE,64.0
2020-07-25,FLUX UNIF,SAV,236.0
2020-07-26,FLUX AD,SAV,2.0
2020-07-26,FLUX RPC,COMMERCE,307.0
2020-07-26,FLUX RPC SAV AUTOLOC,SAV,23.0
2020-07-26,FLUX RPC SAV COMPLEX,SAV,13.0
2020-07-26,FLUX UNIF,COMMERCE,19.0
2020-07-26,FLUX UNIF,SAV,138.0
2020-07-27,FLUX AD,SAV,119.0
2020-07-27,FLUX RPC,COMMERCE,1919.0
